time,dx_obs,dy_obs,dz_obs
4.34,0.0,0.0,-2.098352162879132
4.35,0.0,0.0,-2.0715973669571093
4.36,0.0,0.0,-2.0534780989422354
4.37,0.0,0.0,-2.044798045586482
4.38,0.0,0.0,-2.050863480919047
4.39,0.0,0.0,-2.0286517626969007
4.4,0.0,0.0,-2.0161073614024825
4.41,0.0,0.0,-1.9911382094263097
4.42,0.0,0.0,-1.9761334411757205
4.43,0.0,0.0,-1.9737028959029468
4.44,0.0,0.0,-1.9849827363110404
4.45,0.0,0.0,-1.9725611067266149
4.46,0.0,0.0,-1.9765510990901638
4.47,0.0,0.0,-1.9894655177612575
4.48,0.0,0.0,-2.0076419647878585
4.49,0.0,0.0,-2.029678946367043
4.5,0.0,0.0,-2.0178906592217443
4.51,0.0,0.0,-2.022444901612841
4.52,0.0,0.0,-2.0355493075486524
4.53,0.0,0.0,-2.0539351138921993
4.54,0.0,0.0,-2.025254882426513
4.55,0.0,0.0,-2.0069431988270447
4.56,0.0,0.0,-2.000886717973811
4.57,0.0,0.0,-2.0112699466573014
4.58,0.0,0.0,-2.028288748263309
4.59,0.0,0.0,-2.0103524990254575
4.6,0.0,0.0,-2.0051890500661482
4.61,0.0,0.0,-1.9825450307484833
4.62,0.0,0.0,-1.9718616090628345
4.63,0.0,0.0,-1.9796871097774762
4.64,0.0,0.0,-1.995820645462193
4.65,0.0,0.0,-2.017428482223988
4.66,0.0,0.0,-2.0160360195346367
4.67,0.0,0.0,-2.028921985043406
4.68,0.0,0.0,-2.0482011652537384
4.69,0.0,0.0,-2.072078885833072
4.7,0.0,0.0,-2.058651581306934
4.71,0.0,0.0,-2.0631607140053125
4.72,0.0,0.0,-2.077420988938697
4.73,0.0,0.0,-2.0975194867172804
4.74,0.0,0.0,-2.0657854149246146
4.75,0.0,0.0,-2.0452030434766755
4.76,0.0,0.0,-2.0376736964190862
4.77,0.0,0.0,-2.0483748417680436
4.78,0.0,0.0,-2.0666394686329403
4.79,0.0,0.0,-2.047081524107473
4.8,0.0,0.0,-2.0412003449480913
4.81,0.0,0.0,-2.016745634011209
4.82,0.0,0.0,-2.00495776240212
4.83,0.0,0.0,-2.0129677241978383
4.84,0.0,0.0,-2.0301037749259114
4.85,0.0,0.0,-2.0532819337176305
4.86,0.0,0.0,-2.0520034047766793
4.87,0.0,0.0,-2.065833733108555
4.88,0.0,0.0,-2.0864509219019727
4.89,0.0,0.0,-2.1119953162555434
4.9,0.0,0.0,-2.0981885047144173
4.91,0.0,0.0,-2.1032653048403676
4.92,0.0,0.0,-2.1183901866231185
4.93,0.0,0.0,-2.139675055884806
4.94,0.0,0.0,-2.165484149335058
4.95,0.0,0.0,-2.1360385293257016
4.96,0.0,0.0,-2.1181734881341425
4.97,0.0,0.0,-2.1150016802137213
4.98,0.0,0.0,-2.128279392026195
4.99,0.0,0.0,-2.148327215443453
5.0,0.0,0.0,-2.128665104608127
5.01,0.0,0.0,-2.095385170741753
5.02,0.0,0.0,-2.0738776299782424
5.03,0.0,0.0,-2.066245320062426
5.04,0.0,0.0,-2.0775938012777355
5.05,0.0,0.0,-2.061751025265912
5.06,0.0,0.0,-2.065361538444567
5.07,0.0,0.0,-2.080434888511086
5.08,0.0,0.0,-2.1021804189962454
5.09,0.0,0.0,-2.1288003319116586
5.1,0.0,0.0,-2.11503234028125
5.11,0.0,0.0,-2.120589508998871
5.12,0.0,0.0,-2.1362566388579967
5.13,0.0,0.0,-2.1580109465754114
5.14,0.0,0.0,-2.12396087379944
5.15,0.0,0.0,-2.1014424247582424
5.16,0.0,0.0,-2.0921532868544066
5.17,0.0,0.0,-2.1020824987613707
5.18,0.0,0.0,-2.0753007480084023
5.19,0.0,0.0,-2.0610071364180307
5.2,0.0,0.0,-2.066641555833808
5.21,0.0,0.0,-2.0442603266733164
5.22,0.0,0.0,-2.0355188045572437
5.23,0.0,0.0,-2.0464118458992733
5.24,0.0,0.0,-2.0652978652668756
5.25,0.0,0.0,-2.056571745936606
5.26,0.0,0.0,-2.0671654915036544
5.27,0.0,0.0,-2.0857557667855566
5.28,0.0,0.0,-2.109876012517529
5.29,0.0,0.0,-2.138132093425253
5.3,0.0,0.0,-2.1288725657833636
5.31,0.0,0.0,-2.138061501741911
5.32,0.0,0.0,-2.155050544332683
5.33,0.0,0.0,-2.1771906189778996
5.34,0.0,0.0,-2.162371757095908
5.35,0.0,0.0,-2.164636209978229
5.36,0.0,0.0,-2.177938967339932
5.37,0.0,0.0,-2.197001396091452
5.38,0.0,0.0,-2.220345014300233
5.39,0.0,0.0,-2.1926190998493515
5.4,0.0,0.0,-2.1756468113483463
5.41,0.0,0.0,-2.1716980963358816
5.42,0.0,0.0,-2.18333335146606
5.43,0.0,0.0,-2.1611033207092496
5.44,0.0,0.0,-2.1287362485026664
5.45,0.0,0.0,-2.107068857593859
5.46,0.0,0.0,-2.0974256016019535
5.47,0.0,0.0,-2.105774629861744
5.48,0.0,0.0,-2.0914467017800313
5.49,0.0,0.0,-2.0944309860524934
5.5,0.0,0.0,-2.107867938124081
5.51,0.0,0.0,-2.1270427270193473
5.52,0.0,0.0,-2.150391572064101
5.53,0.0,0.0,-2.148164514087427
5.54,0.0,0.0,-2.159882257182044
5.55,0.0,0.0,-2.1771705488177053
5.56,0.0,0.0,-2.198364318521075
5.57,0.0,0.0,-2.198174710315517
5.58,0.0,0.0,-2.2095095564195506
5.59,0.0,0.0,-2.2258771237835324
5.6,0.0,0.0,-2.245765121652787
5.61,0.0,0.0,-2.268207146998204
5.62,0.0,0.0,-2.2332457625222544
5.63,0.0,0.0,-2.2071990983316865
5.64,0.0,0.0,-2.190503627060152
5.65,0.0,0.0,-2.1842367886639824
5.66,0.0,0.0,-2.1635204547854685
5.67,0.0,0.0,-2.136751299994402
5.68,0.0,0.0,-2.1195454725511094
5.69,0.0,0.0,-2.11309035752049
5.7,0.0,0.0,-2.1215660794048863
5.71,0.0,0.0,-2.135854573855186
5.72,0.0,0.0,-2.126360953937995
5.73,0.0,0.0,-2.131758659880643
5.74,0.0,0.0,-2.143805742969486
5.75,0.0,0.0,-2.159925698010309
5.76,0.0,0.0,-2.157020210648267
5.77,0.0,0.0,-2.166053900476914
5.78,0.0,0.0,-2.1795377057301635
5.79,0.0,0.0,-2.1960788648596354
5.8,0.0,0.0,-2.214753043545967
5.81,0.0,0.0,-2.205374792676037
5.82,0.0,0.0,-2.208137833615015
5.83,0.0,0.0,-2.2171596269689595
5.84,0.0,0.0,-2.229532553181579
5.85,0.0,0.0,-2.2069381841487243
5.86,0.0,0.0,-2.191706417679603
5.87,0.0,0.0,-2.1842031859581867
5.88,0.0,0.0,-2.188347985813162
5.89,0.0,0.0,-2.1974934549464358
5.9,0.0,0.0,-2.1834561546379687
5.91,0.0,0.0,-2.1635168586271853
5.92,0.0,0.0,-2.150733577866401
5.93,0.0,0.0,-2.1458336697798703
5.94,0.0,0.0,-2.1516844395125987
5.95,0.0,0.0,-2.138952896748108
5.96,0.0,0.0,-2.1338073722002453
5.97,0.0,0.0,-2.1391878737395214
5.98,0.0,0.0,-2.148408283229137
5.99,0.0,0.0,-2.159938921233707
6.0,0.0,0.0,-2.159671286478972
6.01,0.0,0.0,-2.166229259755081
6.02,0.0,0.0,-2.175383605400252
6.03,0.0,0.0,-2.1861014829215795
6.04,0.0,0.0,-2.173302697461608
6.05,0.0,0.0,-2.1662284830239504
6.06,0.0,0.0,-2.1672036923441156
6.07,0.0,0.0,-2.1728127631011813
6.08,0.0,0.0,-2.1804606418683274
6.09,0.0,0.0,-2.1765435318670736
6.1,0.0,0.0,-2.179953709779041
6.11,0.0,0.0,-2.1792838978976796
6.12,0.0,0.0,-2.1838593478497317
6.13,0.0,0.0,-2.190060259471854
6.14,0.0,0.0,-2.197145895543737
6.15,0.0,0.0,-2.2027955377678157
6.16,0.0,0.0,-2.2090950876884867
6.17,0.0,0.0,-2.215639290141671
6.18,0.0,0.0,-2.2221925744470825
6.19,0.0,0.0,-2.2285584362626727
6.2,0.0,0.0,-2.2329107601850633
6.21,0.0,0.0,-2.2371835484024025
6.22,0.0,0.0,-2.24116501679145
6.23,0.0,0.0,-2.24470383620707
6.24,0.0,0.0,-2.247357370467256
6.25,0.0,0.0,-2.249429445357387
6.26,0.0,0.0,-2.2507810067855547
6.27,0.0,0.0,-2.2512546856432163
6.28,0.0,0.0,-2.2505522233349238
6.29,0.0,0.0,-2.2570154373464413
6.3,0.0,0.0,-2.2612161461570155
6.31,0.0,0.0,-2.262976826797882
6.32,0.0,0.0,-2.2614370461465136
6.33,0.0,0.0,-2.2664039555557918
6.34,0.0,0.0,-2.274295491520862
6.35,0.0,0.0,-2.278816781107838
6.36,0.0,0.0,-2.279035859702385
6.37,0.0,0.0,-2.2758178668650606
6.38,0.0,0.0,-2.284155397946151
6.39,0.0,0.0,-2.2884365854963646
6.4,0.0,0.0,-2.2867445071283483
6.41,0.0,0.0,-2.282489831958397
6.42,0.0,0.0,-2.2767830025370097
