time,ref_x,ref_y,ref_z,ref_phi,ref_theta,ref_psi
20.02,-0.7739479762032772,1.2849142111949943,1.0033363026237265,0.12846329849850585,0.059020702283877645,0.0
20.03,-0.787227180244914,1.2768215876478741,1.005202216680737,0.11872780026763899,0.06372358116938157,0.0
20.04,-0.8005546160999495,1.2685079056281303,1.0070867737599736,0.12304939542362874,0.06381904329305757,0.0
20.05,-0.8137942621198903,1.2600551174217498,1.0089710510655157,0.12770304429078955,0.06348939777448778,0.0
20.06,-0.82681360887505,1.2515507405530997,1.0108361369752064,0.1328258847666532,0.06302427904078128,0.0
20.07,-0.8400043869353487,1.2427359453759133,1.0127384688173358,0.11547356437675868,0.06929011279351417,0.0
20.08,-0.8531011975353651,1.2337821309954726,1.0146402876584144,0.12056977155534548,0.07003709222809903,0.0
20.09,-0.8659743215776917,1.224780990368507,1.0165226959956328,0.12533774537749046,0.07001182779880157,0.0
20.1,-0.8787524817770049,1.2156455387039227,1.0184044520451045,0.13044385101809014,0.06986528038664978,0.0
20.11,-0.891307940495699,1.2064701219712455,1.0202666750640013,0.13568632061279837,0.06963010611860032,0.0
20.12,-0.903892964175776,1.1970703861150043,1.0221469120769888,0.12127857066521588,0.07447369981659192,0.0
20.13,-0.9162545019491568,1.187635334459996,1.0240074857124428,0.12723224750469458,0.07519290823567122,0.0
20.14,-0.9290109500171859,1.1776835970447113,1.0259422470416961,0.13231054754324134,0.07524090014379739,0.0
20.15,-0.9411701537619364,1.167989187307712,1.0278008489440253,0.13745949956405185,0.07523493354181472,0.0
20.16,-0.9533494794248356,1.158069415052652,1.0296771323148965,0.1044069993489129,0.08204093354437601,0.0
20.17,-0.9653040336302352,1.1481237401330928,1.031533499008251,0.10872170186497429,0.08373539903463727,0.0
20.18,-0.9772740093430033,1.1379523323332343,1.0334073779707402,0.11282936425128816,0.08452703522399896,0.0
20.19,-0.9891368159477778,1.1276561352365781,1.0352799380671494,0.11746776422895269,0.08526104487289411,0.0
20.2,-1.0010081437753418,1.1171314587350232,1.037169809761476,0.122280301364404,0.08592578131386704,0.0
20.21,-1.0125357301665683,1.1066939030897651,1.0390208060148485,0.10906538704708123,0.08775626742614517,0.0
20.22,-1.024069271825966,1.0960301667845824,1.0408889661830778,0.11445362016504292,0.08945076175479838,0.0
20.23,-1.035490512749489,1.0852462384204815,1.0427555121249343,0.10359747685086128,0.09069508610490873,0.0
20.24,-1.046798200469379,1.074343300576717,1.0446203701523824,0.10838270889140483,0.09245487457241004,0.0
20.25,-1.0579910949702362,1.0633225488832994,1.0464834666440186,0.11285334685585566,0.09360812344109747,0.0
20.26,-1.069067968825062,1.0521851918898406,1.048344728047984,0.11734551966338855,0.09473438032924426,0.0
20.27,-1.0800276073298045,1.040932450933038,1.0502040808848663,0.10022625566024713,0.09528914052942253,0.0
20.28,-1.0908688086365914,1.0295655600027558,1.0520614517505977,0.10501997838480959,0.09741891045520455,0.0
20.29,-1.101696991537264,1.0179704017493523,1.0539353098479027,0.10931285553728062,0.09886561159979962,0.0
20.3,-1.112296551076055,1.0063778527294394,1.0557884752199886,0.11348635635733001,0.10031425687548934,0.0
20.31,-1.1226699664910091,0.9947925142154421,1.0576209396712668,0.10120811692420333,0.10044579196054301,0.0
20.32,-1.1331285936147015,0.9828629560283433,1.059488125590884,0.10588858898104099,0.10270241060420665,0.0
20.33,-1.143257108944582,0.971062913949283,1.0613160130088382,0.10978735060884462,0.10439601791093424,0.0
20.34,-1.1533631846300811,0.9590377283193574,1.0631599551464384,0.11106809140949785,0.10603461953764713,0.0
20.35,-1.1633427810451709,0.9469073733951404,1.0650014038371576,0.11909386427187837,0.10780033547048376,0.0
20.36,-1.1731948038146371,0.9346731794067586,1.0668402863837536,0.1063847659439966,0.10800997318094882,0.0
20.37,-1.183014752918064,0.9222126080130417,1.068694879057355,0.11128889903128793,0.10991003750084587,0.0
20.38,-1.192607098808948,0.9097737674117164,1.0705283841540323,0.11741817476893752,0.11190972049209394,0.0
20.39,-1.202068661891981,0.8972351598645802,1.072359104910867,0.12327741035818277,0.11389779060710352,0.0
20.4,-1.2113057630553603,0.8847250128649395,1.074168704789979,0.12918036029933805,0.11590903164846053,0.0
20.41,-1.2205039957287802,0.8719919703816577,1.0759936698033046,0.09149651228932838,0.11033967039482262,0.0
20.42,-1.2296583510140249,0.8590345393413847,1.0778338389718292,0.09553525552932819,0.11385869112313697,0.0
20.43,-1.2385865523108195,0.8461107211439889,1.0796527007740684,0.0993815722443921,0.11631907025789284,0.0
20.44,-1.2472916803832206,0.8332247380189803,1.0814502766525709,0.10522644905972012,0.11881872367067928,0.0
20.45,-1.2558627507566102,0.8202492007079578,1.0832447010022088,0.09059692110810486,0.1169952055703452,0.0
20.46,-1.264467871026823,0.8069206919771591,1.0850720566455874,0.07874148763275572,0.1122102602410273,0.0
20.47,-1.2728484387364782,0.7936352134363156,1.0868779446063777,0.08299555397995367,0.11645912749800168,0.0
20.48,-1.2810894242711333,0.7802627038508629,1.0886804027746735,0.08576093264607619,0.11931766711558846,0.0
20.49,-1.2896714669645262,0.7659944564404955,1.0905871845438533,0.08954299716589512,0.12221892722047602,0.0
20.5,-1.2971490493535571,0.7532624667147343,1.092274745240145,0.07820924162952646,0.11821048601879505,0.0
20.51,-1.3049659277824652,0.7396377000443207,1.0940664876388353,0.08148623200050065,0.12272369445089094,0.0
20.52,-1.3127157141970858,0.7257943604768717,1.0958723777492512,0.0858417005035301,0.12585814676896817,0.0
20.53,-1.3202440990172735,0.7120080891465093,1.097656584194206,0.0910702538222555,0.12907791072189592,0.0
20.54,-1.3275545874735215,0.6982827631253764,1.0994191511278477,0.09626483242329788,0.13231683085711532,0.0
20.55,-1.3347940631607147,0.6843426107958734,1.101195616261535,0.08260814716758855,0.12859206476931095,0.0
20.56,-1.3418871636371252,0.670327412587247,1.1029680863655678,0.08787676538169725,0.1324810019885193,0.0
20.57,-1.3488331110643446,0.6562387054239366,1.1047364914658602,0.09302654668712149,0.13592842976766237,0.0
